year,harvestM,harvestF,harvestU,illegalM,illegalF,illegalU,roadM,roadF,roadU
2003,0,0,0,0,0,0,0,2,0
2004,0,0,0,0,1,0,1,1,0
2005,0,0,0,0,0,0,8,3,0
2006,0,0,0,1,0,0,4,1,0
2007,0,0,0,0,0,0,5,1,1
2008,0,0,0,0,0,1,5,1,3
2009,1,0,0,0,1,0,7,3,1
2010,0,2,0,0,2,0,3,1,1
2011,15,17,0,2,0,0,2,1,2
2012,4,7,0,2,2,0,5,2,0
2013,0,1,0,0,0,0,4,1,0
2014,1,3,0,0,0,0,7,1,0
2015,3,9,0,2,1,0,7,2,1
2016,5,5,0,3,0,0,6,4,1
2017,0,0,0,1,0,0,13,3,0
2018,1,1,0,1,0,0,14,4,2
2019,1,0,0,1,1,0,6,3,2
2020,2,3,0,0,3,0,8,1,1
2021,1,5,0,0,1,0,12,4,3
2022,4,10,0,1,0,0,5,1,0
2023,2,1,0,0,3,0,12,6,1
2024,2,3,0,0,4,0,8,2,1
2025,0,0,0,0,0,0,0,1,0
