Sample #,RandomID,Hair ID,Rapid Genomics ID,Site ID,Week,Check Date,Strand,Sample Quality,DNR ID,Database ID,PIT Tag,Bear,Sex,Year,Date,County,Region,What,Plate,Follicles,Abnormalitiy?,Comments,Address,Latitude,Longitude,,
1,1,1-23,UGA_173101_P001_WB01,HS 027,4,7/4/23,T,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,1,7,,,,32.44472,-83.50545,,
2,2,2-23,UGA_173101_P001_WC01,HS 042,3,6/29/23,T,6 to 10,,,,,,2023,6/29/23,Houston,CGA,Hair Snare,1,7,,,,32.48712,-83.55912,,
3,3,3-23,UGA_173101_P001_WD01,HS 127,4,7/8/23,T,10+,,,,,,2023,7/8/23,Twiggs,CGA,Hair Snare,1,10,,,,32.60175,-83.50735,,
4,4,4-23,UGA_173101_P001_WE01,HS 071,4,7/5/23,B,6 to 10,,,,,,2023,7/5/23,Bleckley,CGA,Hair Snare,1,7,,,,32.45016,-83.47970,,
5,6,6-23,UGA_173101_P001_WF01,HS 079,5,7/13/23,T,10+,,,,,,2023,7/13/23,Twiggs,CGA,Hair Snare,1,12,,,,32.49081,-83.43561,,
6,7,7-23,UGA_173101_P001_WG01,HS 027,4,7/4/23,B,6 to 10,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,1,13,,,,32.44472,-83.50545,,
7,8,8-23,UGA_173101_P001_WD04,HS 042,7,7/27/23,T,10+,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,1,13,,,,32.48712,-83.55912,,
7,8,8-23,UGA_173101_P001_WH01,HS 042,7,7/27/23,T,10+,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,1,13,,,,32.48712,-83.55912,,
8,9,9-23,UGA_173101_P001_WA02,HS 044,3,6/27/23,B,10+,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,1,12,,,,32.48715,-83.51058,,
9,10,10-23,UGA_173101_P001_WB02,HS 065,5,7/13/23,T,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,1,15,,,,32.42075,-83.45467,,
10,11,11-23,UGA_173101_P001_WC02,HS 029,6,7/19/23,B,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,1,10,,,,32.45940,-83.55615,,
