RandomID,Site.Name,Landowner,Latitude,Longitude,Week,Check.Date,Sample,SampleSize,Year
F9-25,Foster,87806 Foster Cub - F,32.49219,-83.52925,N/A,2/6/2025,N/A,10+,2025
DC-87806A,Den Check,87806 Cub 1,32.49219,-83.52925,N/A,2/6/2025,N/A,10+,2025
DC-87806B,Den Check,87806 Cub 2,32.49219,-83.52925,N/A,2/6/2025,N/A,10+,2025
DC-87806Sow,Den Check,87806 Sow,32.49219,-83.52925,N/A,2/6/2025,N/A,10+,2025
DC-97360A,Den Check,97360 Cub 1,32.51552,-83.49713,N/A,2/18/2025,N/A,10+,2025
DC-97360B,Den Check,97360 Cub 2,32.51552,-83.49713,N/A,2/18/2025,N/A,10+,2025
DC-97360C,Den Check,97360 Cub 3,32.51552,-83.49713,N/A,2/18/2025,N/A,10+,2025
DC-97360Sow,Den Check,97360 Sow,32.51552,-83.49713,N/A,2/18/2025,N/A,10+,2025
DC-99427A,Den Check,99427 Cub 1,32.46441,-83.57714,N/A,2/18/2025,N/A,10+,2025
DC-99427B,Den Check,99427 Cub 2,32.46441,-83.57714,N/A,2/18/2025,N/A,10+,2025
DC-87805Sow,Den Check,87805 Sow,32.45172,-83.56823,N/A,2/18/2025,N/A,10+,2025
