Sample..,RandomID,Hair.ID,Rapid.Genomics.ID,Site.ID,Week,Check.Date,Strand,Sample.Quality,DNR.ID,Database.ID,PIT.Tag,Bear,Sex,Year,Date,County,Region,What,Plate,Follicles,Abnormalitiy.,Comments,Address,Latitude,Longitude,X,X.1
1,1,1-23,UGA_173101_P001_WB01,HS 027,4,7/4/2023,T,10+,,,,,,2023,7/4/2023,Houston,CGA,Hair Snare,1,7,,,,32.44472,-83.50545,,
5,6,6-23,UGA_173101_P001_WF01,HS 079,5,7/13/2023,T,10+,,,,,,2023,7/13/2023,Twiggs,CGA,Hair Snare,1,12,,,,32.49081,-83.43561,,
12,13,13-23,UGA_173101_P001_WE02,HS 068,3,7/1/2023,T,10+,,,,,,2023,7/1/2023,Bleckley,CGA,Hair Snare,1,8,,,,32.43761,-83.46568,,
13,14,14-23,UGA_173101_P001_WF02,HS 101,6,7/20/2023,B,6 to 10,,,,,,2023,7/20/2023,Twiggs,CGA,Hair Snare,1,8,,,,32.50851,-83.39172,,
14,15,15-23,UGA_173101_P001_WG02,HS 024,3,6/27/2023,B,10+,,,,,,2023,6/27/2023,Houston,CGA,Hair Snare,1,7,,,,32.42737,-83.49335,,
26,27,27-23,UGA_173101_P001_WC04,HS 070,3,7/1/2023,B,6 to 10,,,,,,2023,7/1/2023,Bleckley,CGA,Hair Snare,1,8,,,,32.44693,-83.45346,,
28,29,29-23,UGA_173101_P001_WF04,HS 040,4,7/4/2023,B,10+,,,,,,2023,7/4/2023,Houston,CGA,Hair Snare,1,8,,,,32.475,-83.52335,,
39,40,40-23,UGA_173101_P001_WA06,HS 075,6,7/19/2023,T,10+,,,,,,2023,7/19/2023,Twiggs,CGA,Hair Snare,1,8,,,,32.47474,-83.45443,,
46,47,47-23,UGA_173101_P001_WA07,HS 043,6,7/18/2023,T,6 to 10,,,,,,2023,7/18/2023,Houston,CGA,Hair Snare,1,4,,,,32.48803,-83.54904,,
59,60,60-23,UGA_173101_P001_WG08,HS 051,6,7/20/2023,T,6 to 10,,,,,,2023,7/20/2023,Houston,CGA,Hair Snare,1,8,,,,32.50791,-83.54721,,
63,64,64-23,UGA_173101_P001_WC09,HS 007,4,7/6/2023,T,10+,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,1,12,,,,32.41777,-83.60471,,
64,66,66-23,UGA_173101_P001_WD09,HS 110,7,7/28/2023,T,10+,,,,,,2023,7/28/2023,Twiggs,CGA,Hair Snare,1,8,,,,32.54697,-83.47593,,
65,67,67-23,UGA_173101_P001_WE09,HS 001,7,7/28/2023,T,10+,,,,,,2023,7/28/2023,Houston,CGA,Hair Snare,1,8,,,,32.38816,-83.67687,,
68,70,70-23,UGA_173101_P001_WH09,HS 044,3,6/27/2023,T,10+,,,,,,2023,6/27/2023,Houston,CGA,Hair Snare,1,7,,,,32.48715,-83.51058,,
72,74,74-23,UGA_173101_P001_WE10,HS 068,3,7/1/2023,T,6 to 10,,,,,,2023,7/1/2023,Bleckley,CGA,Hair Snare,1,3,,,,32.43761,-83.46568,,
77,79,79-23,UGA_173101_P001_WB11,HS 042,6,7/20/2023,T,6 to 10,,,,,,2023,7/20/2023,Houston,CGA,Hair Snare,1,5,,,,32.48712,-83.55912,,
79,81,81-23,UGA_173101_P001_WD11,HS 046,6,7/20/2023,T,6 to 10,,,,,,2023,7/20/2023,Houston,CGA,Hair Snare,1,9,,,,32.50079,-83.56544,,
80,83,83-23,UGA_173101_P001_WE11,HS 101,1,6/15/2023,B,6 to 10,,,,,,2023,6/15/2023,Twiggs,CGA,Hair Snare,1,6,,,,32.50851,-83.39172,,
82,85,85-23,UGA_173101_P001_WG11,HS 130,2,6/24/2023,B,6 to 10,,,,,,2023,6/24/2023,Twiggs,CGA,Hair Snare,1,3,,,,32.61567,-83.50919,,
87,90,90-23,UGA_173101_P001_WD12,HS 070,3,7/1/2023,T,6 to 10,,,,,,2023,7/1/2023,Bleckley,CGA,Hair Snare,1,9,,,,32.44693,-83.45346,,
89,92,92-23,UGA_173101_P001_WF12,HS 044,6,7/18/2023,T,6 to 10,,,,,,2023,7/18/2023,Houston,CGA,Hair Snare,1,7,,,,32.48715,-83.51058,,
95,98,98-23,UGA_173101_P002_WD01,HS 007,5,7/12/2023,T,10+,,,,,,2023,7/12/2023,Houston,CGA,Hair Snare,2,6,,,,32.41777,-83.60471,,
99,102,102-23,UGA_173101_P002_WF03,HS 046,4,7/6/2023,T,10+,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,2,7,,,,32.50079,-83.56544,,
101,104,104-23,UGA_173101_P002_WB02,HS 025,5,7/11/2023,B,10+,,,,,,2023,7/11/2023,Houston,CGA,Hair Snare,2,4,,,,32.43851,-83.49664,,
104,107,107-23,UGA_173101_P002_WE02,HS 126,4,7/6/2023,B,10+,,,,,,2023,7/6/2023,Twiggs,CGA,Hair Snare,2,4,,,,32.59076,-83.44125,,
107,111,111-23,UGA_173101_P002_WA03,HS 101,1,6/15/2023,T,6 to 10,,,,,,2023,6/15/2023,Twiggs,CGA,Hair Snare,2,4,,,,32.50851,-83.39172,,
108,112,112-23,UGA_173101_P002_WB03,HS 068,4,7/8/2023,T,10+,,,,,,2023,7/8/2023,Bleckley,CGA,Hair Snare,2,4,,,,32.43761,-83.46568,,
110,114,114-23,UGA_173101_P002_WD03,HS 009,7,7/26/2023,T,6 to 10,,,,,,2023,7/26/2023,Houston,CGA,Hair Snare,2,5,,,,32.38062,-83.55952,,
112,116,116-23,UGA_173101_P002_WG03,HS 056,5,7/11/2023,B,10+,,,,,,2023,7/11/2023,Pulaski,CGA,Hair Snare,2,10,,,,32.35842,-83.48504,,
125,129,129-23,UGA_173101_P002_WE05,HS 066,5,7/13/2023,T,10+,,,,,,2023,7/13/2023,Bleckley,CGA,Hair Snare,2,7,,,,32.42799,-83.46671,,
126,130,130-23,UGA_173101_P002_WF05,HS 078,3,6/30/2023,T,10+,,,,,,2023,6/30/2023,Twiggs,CGA,Hair Snare,2,1,,One bear hair with other non bear hair in envelope,,32.48743,-83.45378,,
130,134,134-23,UGA_173101_P002_WB06,HS 066,5,7/13/2023,T,10+,,,,,,2023,7/13/2023,Bleckley,CGA,Hair Snare,2,5,,,,32.42799,-83.46671,,
135,139,139-23,UGA_173101_P002_WG06,HS 027,4,7/4/2023,T,6 to 10,,,,,,2023,7/4/2023,Houston,CGA,Hair Snare,2,6,,,,32.44472,-83.50545,,
139,143,143-23,UGA_173101_P002_WC07,HS 068,3,7/1/2023,B,6 to 10,,,,,,2023,7/1/2023,Bleckley,CGA,Hair Snare,2,6,,,,32.43761,-83.46568,,
140,144,144-23,UGA_173101_P002_WD07,HS 046,4,7/6/2023,T,6 to 10,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,2,10,,,,32.50079,-83.56544,,
141,145,145-23,UGA_173101_P002_WE07,HS 116,4,7/6/2023,T,6 to 10,,,,,,2023,7/6/2023,Twiggs,CGA,Hair Snare,2,8,,,,32.5593,-83.45468,,
142,146,146-23,UGA_173101_P002_WF07,HS 012,3,6/28/2023,T,6 to 10,,,,,,2023,6/28/2023,Houston,CGA,Hair Snare,2,4,,,,32.39073,-83.56828,,
143,147,147-23,UGA_173101_P002_WG07,HS 008,3,6/29/2023,T,10+,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,2,6,,,,32.41673,-83.5929,,
146,150,150-23,UGA_173101_P002_WB08,HS 027,5,7/11/2023,B,6 to 10,,,,,,2023,7/11/2023,Houston,CGA,Hair Snare,2,5,,,,32.44472,-83.50545,,
150,154,154-23,UGA_173101_P002_WF08,HS 068,4,7/8/2023,B,6 to 10,,,,,,2023,7/8/2023,Bleckley,CGA,Hair Snare,2,5,,,,32.43761,-83.46568,,
151,155,155-23,UGA_173101_P002_WH08,HS 068,3,7/1/2023,B,6 to 10,,,,,,2023,7/1/2023,Bleckley,CGA,Hair Snare,2,6,,,,32.43761,-83.46568,,
164,168,168-23,UGA_173101_P002_WE10,HS 051,3,6/29/2023,B,6 to 10,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,2,8,,,,32.50791,-83.54721,,
169,173,173-23,UGA_173101_P002_WC11,HS 066,5,7/13/2023,B,10+,,,,,,2023,7/13/2023,Bleckley,CGA,Hair Snare,2,5,,,,32.42799,-83.46671,,
172,177,177-23,UGA_173101_P002_WF11,HS 040,6,7/18/2023,T,10+,,,,,,2023,7/18/2023,Houston,CGA,Hair Snare,2,5,,,,32.475,-83.52335,,
175,180,180-23,UGA_173101_P002_WA12,HS 044,3,6/27/2023,T,10+,,,,,,2023,6/27/2023,Houston,CGA,Hair Snare,2,11,,,,32.48715,-83.51058,,
176,181,181-23,UGA_173101_P002_WB12,HS 032,6,7/19/2023,T,10+,,,,,,2023,7/19/2023,Houston,CGA,Hair Snare,2,10,,,,32.45173,-83.51407,,
180,185,185-23,UGA_173101_P002_WF12,HS 126,4,7/6/2023,B,10+,,,,,,2023,7/6/2023,Twiggs,CGA,Hair Snare,2,6,,,,32.59076,-83.44125,,
182,187,187-23,UGA_173101_P002_WH12,HS 027,5,7/11/2023,T,10+,,,,,,2023,7/11/2023,Houston,CGA,Hair Snare,2,7,,,,32.44472,-83.50545,,
191,196,196-23,UGA_173101_P003_WA02,HS 116,6,7/20/2023,T,10+,,,,,,2023,7/20/2023,Twiggs,CGA,Hair Snare,3,9,,,,32.5593,-83.45468,,
194,199,199-23,UGA_173101_P003_WE02,HS 042,3,6/29/2023,T,6 to 10,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,3,8,,,,32.48712,-83.55912,,
203,208,208-23,UGA_173101_P003_WG03,HS 089,3,6/28/2023,T,10+,,,,,,2023,6/28/2023,Twiggs,CGA,Hair Snare,3,8,,,,32.50342,-83.4374,,
205,210,210-23,UGA_173101_P003_WA04,HS 114,2,6/23/2023,B,10+,,,,,,2023,6/23/2023,Twiggs,CGA,Hair Snare,3,10,,,,32.56337,-83.49266,,
209,214,214-23,UGA_173101_P003_WE04,HS 046,6,7/20/2023,B,6 to 10,,,,,,2023,7/20/2023,Houston,CGA,Hair Snare,3,13,,,,32.50079,-83.56544,,
