rgID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region
UGA_173101_P015_WA01,60-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA01_i5-502_i7-59_S14739_L003_R1_001.fastq,M,Den Check,CGA
UGA_173101_P015_WA02,57-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA02_i5-502_i7-27_S14740_L003_R1_001.fastq,F,Foster,NGA
UGA_173101_P015_WA03,59-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA03_i5-502_i7-82_S14741_L003_R1_001.fastq,M,Den Check,CGA
UGA_173101_P015_WA04,58-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA04_i5-502_i7-7_S14742_L003_R1_001.fastq,F,Foster,NGA
UGA_173101_P015_WA05,67-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA05_i5-502_i7-38_S14743_L003_R1_001.fastq,M,Den Check,NGA
UGA_173101_P015_WA06,82-RK,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA06_i5-502_i7-74_S14744_L003_R1_001.fastq,M,Roadkill,CGA
UGA_173101_P015_WA07,7-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA07_i5-502_i7-77_S14745_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P015_WA08,72-B,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA08_i5-502_i7-16_S14746_L003_R1_001.fastq,F,Foster,NGA
UGA_173101_P015_WA09,66-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA09_i5-502_i7-36_S14747_L003_R1_001.fastq,F,Den Check,CGA
UGA_173101_P015_WA10,68-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA10_i5-502_i7-54_S14748_L003_R1_001.fastq,M,Den Check,NGA
UGA_173101_P015_WA11,33-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA11_i5-502_i7-25_S14749_L003_R1_001.fastq,M,Harvest,SGA
UGA_173101_P015_WA12,30-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA12_i5-502_i7-23_S14750_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P015_WB01,35-SGA,FALSE,TRUE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB01_i5-502_i7-31_S14751_L003_R1_001.fastq,M,Harvest,SGA
UGA_173101_P015_WB02,60-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB02_i5-502_i7-39_S14752_L003_R1_001.fastq,F,Roadkill,SGA
UGA_173101_P015_WB03,35-SGA,FALSE,TRUE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB03_i5-502_i7-2_S14753_L003_R1_001.fastq,M,Harvest,SGA
UGA_173101_P015_WB04,89-NGA,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB04_i5-502_i7-20_S14754_L003_R1_001.fastq,F,Capture,NGA
UGA_173101_P015_WB05,M21.1,FALSE,FALSE,NA,NA,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB05_i5-502_i7-90_S14755_L003_R1_001.fastq,NA,NA,NA
UGA_173101_P015_WB06,33-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB06_i5-502_i7-6_S14756_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P015_WB07,51-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB07_i5-502_i7-29_S14757_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P015_WB08,40-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB08_i5-502_i7-57_S14758_L003_R1_001.fastq,M,Harvest,SGA
UGA_173101_P015_WB09,74-B,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB09_i5-502_i7-63_S14759_L003_R1_001.fastq,M,Den Check,CGA
UGA_173101_P015_WB10,54-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB10_i5-502_i7-55_S14760_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P015_WB11,121-23,TRUE,TRUE,6,2023,HS 028,258399x3594245,RAPiD-Genomics_F534_UGA_173101_P015_WB11_i5-502_i7-5_S14761_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P015_WB12,86-EK,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WB12_i5-502_i7-75_S14762_L003_R1_001.fastq,M,Euthanized,CGA
UGA_173101_P015_WC01,39-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WC01_i5-502_i7-65_S14763_L003_R1_001.fastq,M,Harvest,SGA
UGA_173101_P015_WC02,77-NGA,FALSE,FALSE,NA,2022,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WC02_i5-502_i7-67_S14764_L003_R1_001.fastq,M,Euthanized,NGA
UGA_173101_P015_WC03,64-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WC03_i5-502_i7-40_S14765_L003_R1_001.fastq,F,Foster,NGA
UGA_173101_P015_WC04,45-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WC04_i5-502_i7-19_S14766_L003_R1_001.fastq,M,Harvest ,SGA
UGA_173101_P015_WC05,76-NGA,FALSE,FALSE,NA,2022,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WC05_i5-502_i7-81_S14767_L003_R1_001.fastq,M,Capture,NGA
