extID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region,nSNPgt,vcfID,FILT
UGA_173101_P015_WA01,60-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA01_i5-502_i7-59_S14739_L003_R1_001.fastq,M,Den Check,CGA,994,UGA_173101_P015_WA01,FALSE
UGA_173101_P015_WA02,57-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA02_i5-502_i7-27_S14740_L003_R1_001.fastq,F,Foster,NGA,1117,UGA_173101_P015_WA02,FALSE
UGA_173101_P015_WA03,59-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA03_i5-502_i7-82_S14741_L003_R1_001.fastq,M,Den Check,CGA,851,UGA_173101_P015_WA03,FALSE
UGA_173101_P015_WA04,58-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA04_i5-502_i7-7_S14742_L003_R1_001.fastq,F,Foster,NGA,1099,UGA_173101_P015_WA04,FALSE
UGA_173101_P015_WA05,67-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA05_i5-502_i7-38_S14743_L003_R1_001.fastq,M,Den Check,NGA,741,UGA_173101_P015_WA05,FALSE
UGA_173101_P015_WA06,82-RK,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA06_i5-502_i7-74_S14744_L003_R1_001.fastq,M,Roadkill,CGA,961,UGA_173101_P015_WA06,FALSE
UGA_173101_P015_WA07,7-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA07_i5-502_i7-77_S14745_L003_R1_001.fastq,F,Capture,CGA,747,UGA_173101_P015_WA07,FALSE
UGA_173101_P015_WA08,72-B,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA08_i5-502_i7-16_S14746_L003_R1_001.fastq,F,Foster,NGA,1076,UGA_173101_P015_WA08,FALSE
UGA_173101_P015_WA09,66-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA09_i5-502_i7-36_S14747_L003_R1_001.fastq,F,Den Check,CGA,1089,UGA_173101_P015_WA09,FALSE
UGA_173101_P015_WA10,68-DC,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA10_i5-502_i7-54_S14748_L003_R1_001.fastq,M,Den Check,NGA,1125,UGA_173101_P015_WA10,FALSE
UGA_173101_P015_WA11,33-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P015_WA11_i5-502_i7-25_S14749_L003_R1_001.fastq,M,Harvest,SGA,1006,UGA_173101_P015_WA11,FALSE
