UTMname,name23,name24,oper23,oper24,lat,long,east,north
248187x3586614,HS 001,HS 001,1,1,32.38816,-83.67687,248186.984881353,3586613.93488232
255814x3587061,HS 002,HS 002,1,1,32.39388,-83.59598,255813.979799386,3587060.5305791
248920x3588050,HS 003,HS 003,1,1,32.40127,-83.66947,248919.636805833,3588050.43223768
250904x3587890,HS 004,HS 004,1,1,32.40027,-83.64835,250903.965414546,3587890.08374647
252875x3588670,HS 005,HS 005,1,1,32.40774,-83.62762,252874.730734033,3588670.3518714
253409x3589929,HS 006,HS 006,1,1,32.4192,-83.62227,253409.244548818,3589928.89291978
255057x3589730,HS 007,HS 007,1,1,32.41777,-83.60471,255057.157835412,3589729.88636556
256165x3589588,HS 008,HS 008,1,1,32.41673,-83.5929,256165.277246782,3589587.52044558
259209x3585507,HS 009,NA,1,0,32.38062,-83.55952,259209.297966472,3585507.29757779
260875x3584312,HS 010,HS 010,1,1,32.37021,-83.54153,260874.774512872,3584312.48564741
257416x3586308,HS 011,HS 011,1,1,32.38745,-83.57877,257416.072896686,3586308.25713566
258412x3586648,HS 012,HS 012,1,1,32.39073,-83.56828,258411.88739454,3586648.23529753
259868x3586044,HS 013,HS 013,1,1,32.3856,-83.55266,259868.032990974,3586044.12825431
261409x3586557,HS 014,HS 014,1,1,32.39055,-83.53642,261409.205604333,3586556.68884258
259441x3587678,HS 015,HS 015,1,1,32.40023,-83.55761,259441.072062757,3587677.68102784
261485x3587362,HS 016,HS 016,1,1,32.39782,-83.53582,261484.789795435,3587361.56302906
260417x3588089,HS 017,HS 017,1,1,32.40415,-83.54735,260416.724924995,3588089.33770737
259190x3588588,HS 018,HS 018,1,1,32.40838,-83.56051,259189.890962569,3588588.02588875
254844x3592183,HS 019,HS 019,1,1,32.43983,-83.60761,254844.113994142,3592182.97772087
254624x3592870,HS 020,HS 020,1,1,32.44597,-83.61013,254623.777170866,3592869.69261072
264713x3588839,HS 021,HS 021,1,1,32.41182,-83.50189,264713.421397907,3588838.84904836
265327x3588918,HS 022,HS 022,1,1,32.41266,-83.49539,265327.046205794,3588917.69903018
266159x3589110,HS 023,HS 023,1,1,32.41457,-83.4866,266158.833904394,3589110.22629669
265557x3590544,HS 024,NA,1,0,32.42737,-83.49335,265557.027474423,3590544.48055662
265276x3591787,HS 025,HS 025,1,1,32.43851,-83.49664,265276.482478873,3591787.08201157
262853x3592521,HS 026,HS 026,1,1,32.44461,-83.52258,262853.030251478,3592520.89924437
264464x3592495,HS 027,HS 027,1,1,32.44472,-83.50545,264464.142961271,3592495.1546892
258399x3594245,HS 028,HS 028,1,1,32.45919,-83.57036,258398.919428825,3594244.99524156
259736x3594236,HS 029,HS 029,1,1,32.4594,-83.55615,259735.526356781,3594236.18301042
260871x3593893,HS 030,HS 030,1,1,32.45655,-83.54399,260871.286674718,3593892.79784166
261769x3593353,HS 031,HS 031,1,1,32.45188,-83.53431,261769.135751139,3593353.24960816
263672x3593292,HS 032,HS 032,1,1,32.45173,-83.51407,263671.873397647,3593291.59627332
262817x3594007,HS 033,HS 033,1,1,32.458,-83.52334,262816.6764104,3594007.49045224
264626x3594282,HS 034,HS 034,1,1,32.46086,-83.50418,264625.571809581,3594282.20776484
258142x3595544,HS 035,HS 035,1,1,32.47084,-83.57342,258142.38189067,3595543.89708527
259784x3595395,HS 036,NA,1,0,32.46985,-83.55593,259783.979496253,3595394.56847185
261345x3595677,HS 037,HS 037,1,1,32.47273,-83.53941,261344.631887418,3595676.85424926
264323x3595743,HS 038,HS 038,1,1,32.47396,-83.50776,264323.141953699,3595742.85163109
258163x3596434,HS 039,HS 039,1,1,32.47887,-83.57343,258162.932133253,3596434.43471403
262860x3595893,HS 040,HS 040,1,1,32.475,-83.52335,262860.335002677,3595892.75390418
258115x3597270,HS 041,HS 041,1,1,32.48639,-83.57415,258115.386413944,3597270.02617083
259530x3597317,HS 042,HS 042,1,1,32.48712,-83.55912,259530.052123113,3597316.96869299
260480x3597395,HS 043,NA,1,0,32.48803,-83.54904,260479.908077846,3597395.18603662
264092x3597212,HS 044,HS 044,1,1,32.48715,-83.51058,264092.490042739,3597211.81080477
258191x3598537,HS 045,HS 045,1,1,32.49782,-83.57367,258191.110413877,3598536.50955665
258973x3598847,HS 046,HS 046,1,1,32.50079,-83.56544,258972.508659871,3598847.22891734
259836x3598339,HS 047,HS 047,1,1,32.4964,-83.55613,259835.769392681,3598339.3603581
261267x3598930,HS 048,HS 048,1,1,32.50203,-83.54106,261266.973028963,3598929.84519648
262785x3598339,HS 049,HS 049,1,1,32.49703,-83.52477,262784.707753709,3598338.97144999
259851x3599573,HS 050,HS 050,1,1,32.50752,-83.55628,259851.255264736,3599572.88700511
260705x3599596,HS 051,HS 051,1,1,32.50791,-83.54721,260704.606244847,3599595.72398238
265105x3581135,HS 052,HS 052,1,1,32.34247,-83.49582,265104.916155117,3581134.9747482
266356x3581189,HS 053,HS 053,1,1,32.34322,-83.48255,266356.094122743,3581189.09137379
267531x3581342,HS 054,HS 054,1,1,32.34484,-83.47011,267531.337594413,3581341.64228704
265989x3582156,HS 055,NA,1,0,32.35186,-83.48669,265988.61829174,3582156.25893595
266161x3582880,HS 056,HS 056,1,1,32.35842,-83.48504,266160.83042753,3582880.11248672
267687x3582855,HS 057,HS 057,1,1,32.35851,-83.46883,267686.809066535,3582854.76838194
265017x3583640,HS 058,HS 058,1,1,32.36503,-83.49737,265017.389986914,3583640.1469161
